Kinase,Compound,Predicted_Kd_Category
TYK2(JH2domain-pseudokinase),KW-2449,<300nM
ABL1-phosphorylated,Ki-20227,<300nM
ABL1(Y253F)-phosphorylated,MLN-518,>300nM
MTOR,Dasatinib,>300nM
PLK4,Staurosporine,<300nM
SIK2,Imatinib,>300nM
CSF1R,AST-487,<300nM
CAMK4,PHA-665752,>300nM
ABL1(E255K)-phosphorylated,CP-690550,>300nM
TNK2,Dasatinib,<300nM
MYO3A,AZD-6244/ARRY-886,>300nM
MUSK,CP-690550,>300nM
MKNK1,Ki-20227,>300nM
SLK,GSK-690693,<300nM
SIK2,ABT-869,>300nM
CAMK1D,MLN-518,>300nM
CSNK1G3,Ki-20227,>300nM
ZAK,LY-317615,>300nM
AMPK-alpha2,CI-1033,>300nM
RIOK3,BIRB-796,>300nM
RPS6KA5(Kin.Dom.2-C-terminal),BMS-540215,>300nM
FGFR3(G697C),Staurosporine,<300nM
PLK2,Crizotinib,>300nM
EPHA7,Dasatinib,<300nM
ROS1,Lapatinib,>300nM
LOK,GW-2580,>300nM
ADCK4,Ki-20227,>300nM
RSK1(Kin.Dom.1-N-terminal),PD-173955,>300nM
MAP3K15,ABT-869,>300nM
FLT3(ITD),Pazopanib,<300nM
TRKC,Nilotinib,>300nM
PIK3CA(E545A),Gefitinib,>300nM
MYLK2,PD-173955,>300nM
GRK7,Flavopiridol,<300nM
FLT3(D835Y),AT-7519,>300nM
ABL1(F317I)-phosphorylated,LY-333531,>300nM
YANK3,AT-7519,>300nM
LKB1,SB-203580,>300nM
EPHA3,LY-317615,>300nM
KIT(A829P),AB-1010,<300nM
ERK5,Imatinib,>300nM
CAMK1,BMS-540215,>300nM
MARK3,BIRB-796,>300nM
CSNK1E,KW-2449,<300nM
PDGFRA,Ki-20227,<300nM
JAK2(JH1domain-catalytic),BMS-540215,>300nM
TEC,Nilotinib,>300nM
BMPR2,Vandetanib,>300nM
MARK3,PLX-4720,>300nM
"KIT(V559D,V654A)",AT-7519,>300nM
RSK3(Kin.Dom.1-N-terminal),Staurosporine,<300nM
FES,PLX-4720,>300nM
MEK4,PKC-412,<300nM
DDR2,BIRB-796,<300nM
CDC2L1,PTK-787,>300nM
RIOK2,Erlotinib,>300nM
ZAP70,Lapatinib,>300nM
ABL1(F317I)-phosphorylated,Pazopanib,<300nM
ACVR2B,R547,>300nM
LRRK2,SB-203580,>300nM
JNK1,LY-333531,>300nM
MST2,AZD-1152HQPA,>300nM
PCTK2,INCB18424,>300nM
SRPK3,Dasatinib,>300nM
DYRK2,AG-013736,>300nM
CDKL5,AZD-2171,>300nM
GRK7,AZD-6244/ARRY-886,>300nM
JAK1(JH2domain-pseudokinase),AG-013736,>300nM
ERBB4,GDC-0879,>300nM
MTOR,TG-101348,>300nM
FLT3(D835Y),CEP-701,<300nM
PIM2,MLN-120B,>300nM
PFTAIRE2,Imatinib,>300nM
MST1R,Crizotinib,>300nM
TTK,PLX-4720,>300nM
MYO3B,ABT-869,>300nM
INSRR,JNJ-28312141,>300nM
FGFR4,Imatinib,>300nM
DRAK1,MLN-120B,>300nM
EPHA5,Ki-20227,>300nM
EGFR(S752-I759del),AZD-2171,<300nM
TAOK2,KW-2449,<300nM
AAK1,AZD-6244/ARRY-886,>300nM
TTK,AZD-2171,>300nM
RPS6KA4(Kin.Dom.2-C-terminal),AZD-1152HQPA,>300nM
PFPK5(P.falciparum),GSK-1838705A,>300nM
ADCK3,BMS-540215,>300nM
RSK4(Kin.Dom.1-N-terminal),HKI-272,>300nM
LYN,MLN-518,>300nM
SNRK,MLN-518,>300nM
"KIT(V559D,V654A)",Imatinib,<300nM
RET(V804L),GSK-1838705A,>300nM
JAK1(JH2domain-pseudokinase),PKC-412,<300nM
PLK4,AC220,>300nM
CHEK2,R406,<300nM
CDC2L1,Vandetanib,>300nM
IRAK4,BIRB-796,>300nM
DCAMKL2,Flavopiridol,>300nM
SgK110,AB-1010,>300nM
CDK4-cyclinD1,Nilotinib,>300nM
MEK6,BMS-387032/SNS-032,>300nM
AKT2,KW-2449,>300nM
CDKL5,Erlotinib,>300nM
CSNK2A1,GW-2580,>300nM
TGFBR2,AT-7519,>300nM
BMX,TG-101348,<300nM
BMPR2,BMS-387032/SNS-032,>300nM
PIK3CA(E545K),GDC-0879,>300nM
FLT3(D835Y),Ki-20227,<300nM
PIK3CA(E542K),LY-333531,>300nM
ABL1(F317I)-nonphosphorylated,BIRB-796,>300nM
CIT,Erlotinib,<300nM
EGFR,BMS-540215,>300nM
p38-beta,INCB18424,>300nM
ITK,TG-101348,<300nM
MAPKAPK2,Imatinib,>300nM
MRCKA,CP-690550,>300nM
AURKB,ABT-869,>300nM
CAMK2A,AG-013736,>300nM
ALK,MLN-8054,>300nM
MRCKB,Flavopiridol,>300nM
PIM1,AC220,>300nM
MYLK2,R406,<300nM
MELK,Pazopanib,>300nM
ERBB3,BMS-540215,>300nM
TNK2,MLN-518,>300nM
CDK9,MLN-518,>300nM
CDK2,GDC-0879,>300nM
DDR2,KW-2449,<300nM
TLK1,BI-2536,>300nM
p38-alpha,LY-317615,>300nM
RET(V804M),AG-013736,<300nM
MET(M1250T),GDC-0879,>300nM
AMPK-alpha2,Flavopiridol,>300nM
PAK6,INCB18424,>300nM
MAPKAPK5,SGX-523,>300nM
PIK3C2G,CI-1033,>300nM
RIPK4,LY-317615,>300nM
TGFBR1,PLX-4720,>300nM
PIK3CA(M1043I),Nilotinib,>300nM
CAMK2D,Staurosporine,<300nM
IGF1R,PKC-412,>300nM
MYLK4,AG-013736,>300nM
MAK,CEP-701,<300nM
AURKB,PLX-4720,>300nM
MEK4,HKI-272,>300nM
RSK4(Kin.Dom.1-N-terminal),TAE-684,<300nM
KIT(A829P),LY-317615,>300nM
BMPR1A,GDC-0879,>300nM
TNK1,Flavopiridol,>300nM
LRRK2(G2019S),TAE-684,<300nM
PDPK1,AC220,>300nM
CSNK1G1,GDC-0941,>300nM
CDKL1,AT-7519,>300nM
DMPK2,Staurosporine,<300nM
MAP3K4,PKC-412,<300nM
ROS1,AC220,>300nM
LRRK2,GDC-0879,>300nM
MKNK1,Lapatinib,>300nM
FRK,AST-487,<300nM
PDPK1,Erlotinib,>300nM
EPHB6,Flavopiridol,<300nM
PRKCD,AG-013736,>300nM
PRKG2,Imatinib,>300nM
INSRR,R406,<300nM
CDC2L2,MLN-120B,>300nM
ADCK3,BI-2536,>300nM
RSK3(Kin.Dom.1-N-terminal),CP-690550,>300nM
RPS6KA5(Kin.Dom.2-C-terminal),PTK-787,>300nM
EPHA3,BI-2536,>300nM
PRKX,ABT-869,>300nM
HIPK4,LY-333531,<300nM
PKN2,Imatinib,>300nM
MYLK4,AB-1010,>300nM
CTK,PP-242,>300nM
PRP4,TAE-684,<300nM
CDKL2,Dasatinib,>300nM
CLK3,PP-242,<300nM
CDK8,JNJ-28312141,>300nM
MKNK1,LY-333531,>300nM
CSF1R,Dasatinib,<300nM
PIK4CB,GSK-690693,>300nM
PIM2,Nilotinib,>300nM
CDC2L5,AB-1010,>300nM
PIK3CA(E545A),MLN-518,>300nM
ADCK3,A-674563,>300nM
p38-delta,AC220,>300nM
CDK2,Ki-20227,>300nM
EPHB3,LY-333531,>300nM
ASK1,LY-317615,>300nM
MAPKAPK5,GDC-0941,>300nM
PKN2,Erlotinib,>300nM
PRKCI,BMS-540215,>300nM
MAP3K4,PP-242,>300nM
ERK5,Flavopiridol,>300nM
EPHA2,Dasatinib,<300nM
SYK,AZD-1152HQPA,>300nM
INSR,PP-242,>300nM
DLK,CEP-701,<300nM
ANKK1,INCB18424,>300nM
HIPK1,Dasatinib,>300nM
TYK2(JH1domain-catalytic),AB-1010,>300nM
TIE2,Crizotinib,<300nM
CSNK1G2,HKI-272,>300nM
ERK8,GSK-1838705A,>300nM
MUSK,AZD-2171,>300nM
PRKD1,Gefitinib,>300nM
ZAK,AZD-6244/ARRY-886,>300nM
MYLK2,Staurosporine,<300nM
EGFR(S752-I759del),GSK-1838705A,>300nM
CDC2L5,BI-2536,>300nM
NEK3,GW-2580,>300nM
PKAC-beta,AB-1010,>300nM
TNNI3K,BMS-345541,>300nM
ABL1(F317I)-phosphorylated,BMS-345541,>300nM
PDGFRA,AB-1010,<300nM
CHEK1,GSK-690693,>300nM
MYLK2,GSK-690693,>300nM
ABL1(Q252H)-nonphosphorylated,Imatinib,<300nM
HPK1,R547,>300nM
NDR2,GDC-0941,>300nM
BRSK1,PP-242,>300nM
MUSK,CHIR-258/TKI-258,<300nM
ERK1,Vandetanib,>300nM
EPHA1,Lapatinib,>300nM
p38-gamma,LY-317615,>300nM
ERK3,A-674563,>300nM
ERK2,Vandetanib,>300nM
AURKA,BIRB-796,>300nM
CAMK2D,AC220,>300nM
p38-alpha,A-674563,>300nM
ABL1(H396P)-nonphosphorylated,HKI-272,<300nM
PIP5K2C,Pazopanib,>300nM
CDK2,GW-2580,>300nM
PRKCD,Lapatinib,>300nM
TYK2(JH2domain-pseudokinase),PHA-665752,<300nM
TLK1,AZD-1152HQPA,>300nM
CDKL3,AT-7519,>300nM
ITK,BMS-345541,>300nM
CAMKK2,HKI-272,>300nM
MAP4K3,LY-333531,<300nM
SRPK1,Dasatinib,>300nM
PRKCH,Nilotinib,>300nM
SgK110,PP-242,>300nM
"GCN2(Kin.Dom.2,S808G)",Gefitinib,>300nM
SNARK,AZD-1152HQPA,>300nM
VEGFR2,AB-1010,>300nM
CLK2,GSK-690693,<300nM
BMPR1B,Pazopanib,>300nM
ABL1(T315I)-nonphosphorylated,Gefitinib,<300nM
CDK5,Crizotinib,>300nM
FLT3(R834Q),PP-242,<300nM
LOK,BIRB-796,<300nM
ERBB2,Lapatinib,>300nM
TRKB,GSK-1838705A,>300nM
RIOK2,Pazopanib,>300nM
ABL1(Q252H)-nonphosphorylated,BIRB-796,<300nM
EPHA4,PKC-412,>300nM
RIOK2,CHIR-265/RAF-265,>300nM
BLK,TG-101348,<300nM
PIM2,GSK-1838705A,>300nM
PLK4,R406,<300nM
YES,PP-242,<300nM
KIT(A829P),BMS-345541,>300nM
DCAMKL2,Ki-20227,>300nM
ANKK1,Gefitinib,>300nM
FGFR1,TAE-684,<300nM
LATS1,Gefitinib,>300nM
GAK,R547,>300nM
MET(M1250T),AC220,>300nM
CAMK1G,AG-013736,>300nM
MAP4K5,Crizotinib,<300nM
FER,AG-013736,>300nM
MAK,PLX-4720,>300nM
SNRK,TAE-684,<300nM
RSK4(Kin.Dom.1-N-terminal),Gefitinib,>300nM
CSNK1G2,CHIR-265/RAF-265,>300nM
ULK2,KW-2449,<300nM
PCTK1,PKC-412,<300nM
ASK2,AT-7519,>300nM
PRKCI,BIRB-796,>300nM
EGFR(L861Q),TAE-684,<300nM
TYK2(JH1domain-catalytic),Ki-20227,>300nM
TRPM6,PD-173955,>300nM
MAK,BMS-345541,>300nM
PIP5K1C,MLN-8054,>300nM
ULK2,Erlotinib,>300nM
PIK3CA(E545A),CEP-701,>300nM
RET(V804L),PP-242,<300nM
INSRR,Lapatinib,>300nM
PRKG2,AZD-2171,>300nM
IKK-beta,Erlotinib,>300nM
CDKL3,PTK-787,>300nM
PLK2,GDC-0941,>300nM
FLT3(R834Q),AZD-6244/ARRY-886,>300nM
NDR1,LY-333531,>300nM
HCK,GDC-0941,>300nM
GRK1,PTK-787,>300nM
EGFR(L858R),TAE-684,<300nM
RIPK1,AG-013736,>300nM
MEK4,AZD-6244/ARRY-886,>300nM
ROS1,Flavopiridol,>300nM
ACVR1B,BMS-540215,>300nM
YES,AC220,>300nM
PIK3CA(H1047Y),MLN-518,>300nM
SRPK1,CI-1033,>300nM
ABL1(F317L)-phosphorylated,BMS-345541,>300nM
PIK3C2G,HKI-272,>300nM
CHEK2,BI-2536,>300nM
YANK2,ABT-869,>300nM
PIP5K1C,Ki-20227,>300nM
JAK1(JH2domain-pseudokinase),TAE-684,<300nM
HUNK,Pazopanib,>300nM
RSK3(Kin.Dom.1-N-terminal),Imatinib,>300nM
ACVR1B,CEP-701,<300nM
LRRK2,BMS-345541,>300nM
PLK3,BI-2536,>300nM
SLK,Staurosporine,<300nM
MRCKB,AB-1010,>300nM
PCTK3,Erlotinib,>300nM
PAK1,CP-690550,>300nM
VEGFR2,CHIR-258/TKI-258,<300nM
DCAMKL3,SGX-523,>300nM
EGFR,PLX-4720,>300nM
JNK1,BIRB-796,>300nM
MYLK2,R547,>300nM
CSNK1G3,PD-173955,>300nM
CIT,Vandetanib,<300nM
BIKE,MLN-120B,>300nM
PRKD2,GSK-1838705A,>300nM
VEGFR2,PTK-787,>300nM
DMPK2,MLN-120B,>300nM
ADCK4,AZD-6244/ARRY-886,>300nM
PRKCQ,Imatinib,>300nM
ABL1(Q252H)-nonphosphorylated,BMS-387032/SNS-032,>300nM
EPHB2,PD-173955,<300nM
PIK3CB,GW-2580,>300nM
EPHA2,AB-1010,>300nM
BRAF(V600E),CP-690550,>300nM
ACVR1B,SGX-523,>300nM
p38-delta,TAE-684,>300nM
CAMK4,AT-7519,>300nM
FER,GW-2580,>300nM
HCK,BMS-387032/SNS-032,>300nM
PIM2,GSK-690693,>300nM
MYLK2,AC220,>300nM
MST4,INCB18424,>300nM
TYK2(JH2domain-pseudokinase),CP-690550,>300nM
FGFR3(G697C),LY-317615,>300nM
BTK,R547,>300nM
FLT1,TAE-684,<300nM
RIPK1,A-674563,>300nM
SYK,GSK-690693,>300nM
ERBB3,TAE-684,<300nM
CSNK1G3,INCB18424,>300nM
ACVR2A,Erlotinib,>300nM
SRPK3,TAE-684,<300nM
FES,CHIR-265/RAF-265,>300nM
TGFBR1,INCB18424,>300nM
BRK,LY-333531,>300nM
FER,CP-690550,>300nM
PRKCD,TAE-684,<300nM
CDC2L1,Gefitinib,>300nM
PKMYT1,ABT-869,>300nM
ERK8,SB-203580,>300nM
AKT3,Pazopanib,>300nM
FLT3(ITD),MLN-120B,>300nM
TLK2,AZD-6244/ARRY-886,>300nM
PAK1,R406,<300nM
RSK1(Kin.Dom.2-C-terminal),Nilotinib,>300nM
IRAK1,LY-333531,>300nM
EPHA5,JNJ-28312141,>300nM
PIP5K2C,Erlotinib,>300nM
RAF1,Flavopiridol,>300nM
CDKL1,BIBW-2992,>300nM
MERTK,PLX-4720,>300nM
MAP3K15,INCB18424,>300nM
TGFBR1,Pazopanib,>300nM
"EGFR(L747-E749del, A750P)",PP-242,<300nM
PRKD3,TAE-684,<300nM
PFPK5(P.falciparum),Staurosporine,<300nM
CDK11,BMS-387032/SNS-032,<300nM
CLK1,MLN-518,>300nM
MAST1,BIBW-2992,>300nM
ABL1(T315I)-phosphorylated,LY-317615,>300nM
FYN,JNJ-28312141,<300nM
INSRR,AZD-6244/ARRY-886,>300nM
KIT(A829P),ABT-869,<300nM
YANK1,R547,>300nM
DAPK1,GSK-690693,>300nM
PCTK1,CI-1033,>300nM
BMPR2,CHIR-258/TKI-258,>300nM
CSK,PKC-412,<300nM
CLK4,Crizotinib,<300nM
ULK2,Pazopanib,>300nM
PCTK1,CHIR-258/TKI-258,<300nM
MEK4,GSK-1838705A,>300nM
RIOK1,HKI-272,>300nM
TAOK2,GDC-0879,>300nM
CDKL1,HKI-272,>300nM
MAP4K2,MLN-8054,>300nM
MARK3,PD-173955,>300nM
FGR,R547,>300nM
EPHB1,Nilotinib,>300nM
AURKB,Crizotinib,<300nM
CSNK1D,Erlotinib,>300nM
MINK,AZD-2171,<300nM
CDK11,LY-333531,>300nM
KIT(D816H),INCB18424,>300nM
TXK,BIBW-2992,>300nM
CAMKK2,BI-2536,>300nM
WEE1,Pazopanib,>300nM
CSNK1G1,SB-203580,>300nM
ERK2,AT-7519,>300nM
WEE1,BI-2536,>300nM
ZAP70,Vandetanib,>300nM
CSNK1E,Erlotinib,<300nM
PIK3CA(M1043I),Ki-20227,>300nM
NEK9,AT-7519,>300nM
RPS6KA5(Kin.Dom.1-N-terminal),Nilotinib,>300nM
p38-gamma,GSK-1838705A,>300nM
HIPK4,A-674563,<300nM
RPS6KA5(Kin.Dom.2-C-terminal),AZD-6244/ARRY-886,>300nM
CSNK1A1,Crizotinib,>300nM
EGFR(G719C),SB-203580,<300nM
PIK3CA(I800L),Crizotinib,>300nM
NIM1,GDC-0941,>300nM
YANK1,JNJ-28312141,>300nM
CASK,CEP-701,<300nM
TRPM6,MLN-120B,>300nM
p38-alpha,Imatinib,>300nM
CSNK1A1,GDC-0879,>300nM
PRKCE,Erlotinib,>300nM
SRPK2,BMS-387032/SNS-032,>300nM
PRKG2,GW-2580,>300nM
PRKD1,MLN-120B,>300nM
FLT4,BIBW-2992,>300nM
AMPK-alpha2,BI-2536,>300nM
MEK6,CHIR-258/TKI-258,>300nM
BMPR1B,Dasatinib,<300nM
p38-alpha,CI-1033,>300nM
CSNK2A2,Dasatinib,>300nM
VEGFR2,R406,<300nM
BRSK2,TAE-684,<300nM
RPS6KA4(Kin.Dom.1-N-terminal),AB-1010,>300nM
BRK,Imatinib,>300nM
HUNK,KW-2449,<300nM
PIK3C2B,MLN-120B,>300nM
CAMK2G,GDC-0941,>300nM
MLCK,Lapatinib,>300nM
DYRK2,PTK-787,>300nM
CHEK2,Vandetanib,>300nM
MET(M1250T),AZD-2171,<300nM
PRKG2,CHIR-258/TKI-258,>300nM
DMPK,MLN-518,>300nM
TTK,LY-317615,>300nM
MARK2,R547,>300nM
WEE2,AZD-2171,>300nM
RPS6KA4(Kin.Dom.2-C-terminal),MLN-518,>300nM
LTK,AZD-6244/ARRY-886,>300nM
"GCN2(Kin.Dom.2,S808G)",Flavopiridol,>300nM
MAPKAPK5,AB-1010,>300nM
ERK4,Crizotinib,>300nM
KIT(L576P),Nilotinib,<300nM
JNK3,Ki-20227,>300nM
NEK11,AZD-6244/ARRY-886,>300nM
ITK,R547,>300nM
CAMKK2,SGX-523,>300nM
BMPR1B,CEP-701,<300nM
"GCN2(Kin.Dom.2,S808G)",AT-7519,>300nM
RET(V804M),AZD-1152HQPA,<300nM
CSNK1A1L,AC220,>300nM
BRAF,AZD-2171,>300nM
MLCK,BIRB-796,>300nM
CDKL1,SGX-523,>300nM
ABL1(T315I)-phosphorylated,BIBW-2992,<300nM
JNK1,AT-7519,>300nM
MET(Y1235D),BI-2536,>300nM
HCK,AC220,>300nM
ROCK1,Lapatinib,>300nM
"GCN2(Kin.Dom.2,S808G)",CI-1033,>300nM
DCAMKL1,JNJ-28312141,<300nM
PKN2,PTK-787,>300nM
ZAK,Ki-20227,>300nM
AKT1,PTK-787,>300nM
RIPK4,PLX-4720,>300nM
SRMS,CP-690550,>300nM
NEK1,AB-1010,>300nM
ERK4,Dasatinib,>300nM
NEK6,GSK-690693,>300nM
HIPK2,Erlotinib,>300nM
EPHA5,Pazopanib,>300nM
LZK,Vandetanib,>300nM
DDR2,Dasatinib,<300nM
BRAF(V600E),AZD-6244/ARRY-886,>300nM
CLK2,PKC-412,<300nM
ABL1(F317L)-nonphosphorylated,ABT-869,>300nM
LATS2,SGX-523,>300nM
MARK1,Flavopiridol,>300nM
LTK,KW-2449,<300nM
NLK,MLN-8054,>300nM
JAK1(JH1domain-catalytic),AZD-1152HQPA,>300nM
NLK,TAE-684,<300nM
PIK3CA(E545A),AG-013736,>300nM
EGFR(T790M),BMS-540215,>300nM
PIK3CA(E545K),PKC-412,>300nM
PFPK5(P.falciparum),CHIR-258/TKI-258,>300nM
LRRK2(G2019S),BIRB-796,>300nM
PAK1,R547,>300nM
ABL1(F317L)-nonphosphorylated,AG-013736,<300nM
MST4,Crizotinib,>300nM
ERK1,TG-101348,>300nM
IRAK3,Staurosporine,<300nM
KIT(D816H),Crizotinib,<300nM
TRPM6,Lapatinib,>300nM
ABL1(H396P)-phosphorylated,Dasatinib,<300nM
AXL,BMS-540215,<300nM
ARK5,AT-7519,>300nM
EGFR(G719S),Lapatinib,<300nM
RPS6KA5(Kin.Dom.1-N-terminal),Pazopanib,>300nM
LATS2,PHA-665752,>300nM
EPHB2,MLN-518,>300nM
FGFR4,AT-7519,>300nM
FLT3(N841I),AB-1010,>300nM
ABL1(H396P)-nonphosphorylated,BI-2536,>300nM
FGFR1,Staurosporine,<300nM
GRK4,GSK-690693,>300nM
IRAK3,BI-2536,>300nM
EGFR(L858R),PLX-4720,>300nM
SRC,KW-2449,<300nM
FYN,Imatinib,<300nM
YSK1,BIBW-2992,>300nM
ERN1,Dasatinib,>300nM
MAPKAPK2,CI-1033,>300nM
SBK1,Erlotinib,>300nM
PIK3CA(H1047L),BMS-540215,>300nM
S6K1,INCB18424,>300nM
CSNK1G1,Ki-20227,>300nM
IGF1R,INCB18424,>300nM
ITK,Dasatinib,>300nM
LYN,SB-203580,>300nM
PHKG2,Staurosporine,<300nM
PIM2,BMS-387032/SNS-032,>300nM
PKMYT1,JNJ-28312141,>300nM
MTOR,CI-1033,>300nM
ACVR2A,A-674563,>300nM
MELK,R547,>300nM
KIT(A829P),Imatinib,<300nM
ACVR1,Erlotinib,>300nM
SRPK2,BMS-345541,>300nM
PHKG2,PP-242,<300nM
ANKK1,Vandetanib,>300nM
CDK9,A-674563,>300nM
EGFR(T790M),Dasatinib,<300nM
IKK-epsilon,Flavopiridol,>300nM
TIE2,GDC-0879,>300nM
PIK3CA(M1043I),BIRB-796,>300nM
JAK3(JH1domain-catalytic),BMS-387032/SNS-032,>300nM
MLK1,PKC-412,<300nM
MST1,A-674563,>300nM
ABL1(F317I)-nonphosphorylated,CEP-701,<300nM
DMPK,LY-333531,<300nM
ABL1(F317L)-nonphosphorylated,CI-1033,<300nM
MAPKAPK2,TAE-684,>300nM
MST1R,LY-333531,>300nM
JAK3(JH1domain-catalytic),SB-203580,>300nM
PRKG2,AG-013736,>300nM
PIK3CA(Q546K),R547,>300nM
MAPKAPK5,CI-1033,>300nM
EPHB4,AZD-1152HQPA,>300nM
DAPK3,Erlotinib,>300nM
LTK,Flavopiridol,<300nM
RET(M918T),KW-2449,<300nM
CAMK2A,Imatinib,>300nM
PIK3CA(E545K),Imatinib,>300nM
SRPK1,LY-333531,>300nM
ULK3,BMS-540215,>300nM
MST3,AT-7519,>300nM
ANKK1,Lapatinib,>300nM
EGFR(G719C),TG-101348,<300nM
PIP5K2C,PKC-412,<300nM
PIK3CA(E545A),AB-1010,>300nM
MAP3K3,Nilotinib,>300nM
BRAF,AB-1010,<300nM
MLK3,KW-2449,<300nM
MST2,GDC-0941,>300nM
RPS6KA4(Kin.Dom.1-N-terminal),ABT-869,>300nM
MEK1,A-674563,<300nM
MERTK,R547,>300nM
p38-beta,CEP-701,<300nM
EIF2AK1,AST-487,<300nM
AURKA,Gefitinib,>300nM
AMPK-alpha1,AC220,>300nM
PIK3C2G,MLN-518,>300nM
GSK3A,LY-333531,>300nM
BMPR1B,Ki-20227,>300nM
RSK1(Kin.Dom.1-N-terminal),HKI-272,>300nM
GAK,AT-7519,<300nM
PCTK2,PHA-665752,>300nM
p38-beta,GSK-1838705A,>300nM
RET,BIRB-796,<300nM
CDC2L1,CHIR-265/RAF-265,>300nM
STK36,INCB18424,>300nM
TGFBR2,AZD-1152HQPA,>300nM
PIK3C2B,GDC-0879,>300nM
PDPK1,R547,>300nM
ZAP70,GSK-1838705A,>300nM
EPHB1,AZD-2171,<300nM
BRSK1,Imatinib,>300nM
CDKL1,Nilotinib,>300nM
SBK1,BMS-345541,>300nM
PFPK5(P.falciparum),KW-2449,<300nM
DRAK2,CHIR-265/RAF-265,>300nM
AKT1,GDC-0941,>300nM
ERK2,BI-2536,>300nM
PRKCE,A-674563,>300nM
PIM2,KW-2449,<300nM
HIPK1,GSK-690693,<300nM
MAP3K4,CI-1033,>300nM
CSNK2A1,MLN-120B,>300nM
CAMK2D,AZD-6244/ARRY-886,>300nM
PIK3CD,BMS-387032/SNS-032,>300nM
ABL1(F317I)-phosphorylated,CP-690550,>300nM
CHEK2,GSK-1838705A,>300nM
MAP3K3,KW-2449,<300nM
TYK2(JH1domain-catalytic),INCB18424,>300nM
ABL1(F317I)-phosphorylated,CHIR-265/RAF-265,<300nM
RSK1(Kin.Dom.1-N-terminal),BMS-540215,>300nM
CAMKK2,BMS-540215,>300nM
FYN,BMS-387032/SNS-032,>300nM
SGK3,Flavopiridol,>300nM
JNK3,Nilotinib,>300nM
MKK7,Staurosporine,<300nM
ABL1(F317I)-nonphosphorylated,CP-690550,>300nM
DMPK,AST-487,<300nM
TYRO3,Gefitinib,>300nM
ABL1(Y253F)-phosphorylated,GDC-0941,>300nM
PRKCQ,AT-7519,>300nM
CAMK2B,BIBW-2992,>300nM
ROS1,TAE-684,<300nM
SGK3,BIBW-2992,>300nM
EGFR,AG-013736,>300nM
CSF1R,LY-333531,<300nM
CSNK1G2,BMS-540215,>300nM
AURKC,PKC-412,<300nM
HIPK4,MLN-120B,>300nM
BTK,ABT-869,>300nM
RIOK1,MLN-120B,>300nM
CASK,PKC-412,<300nM
NEK5,CP-690550,>300nM
FLT3(N841I),AST-487,<300nM
CIT,PHA-665752,<300nM
QSK,CI-1033,>300nM
p38-delta,Pazopanib,>300nM
MLK1,Ki-20227,>300nM
"EGFR(L747-T751del,Sins)",Ki-20227,>300nM
NEK11,INCB18424,>300nM
AXL,CHIR-258/TKI-258,<300nM
ACVRL1,Nilotinib,>300nM
JNK1,GDC-0879,>300nM
ACVR2B,AZD-1152HQPA,>300nM
"GCN2(Kin.Dom.2,S808G)",INCB18424,>300nM
CDK11,BMS-540215,>300nM
SRPK1,GDC-0879,>300nM
STK35,PP-242,<300nM
GRK1,Staurosporine,<300nM
PYK2,LY-333531,>300nM
CAMK1D,GDC-0879,>300nM
GRK4,TAE-684,<300nM
OSR1,PHA-665752,>300nM
"KIT(V559D,T670I)",BMS-387032/SNS-032,>300nM
JAK2(JH1domain-catalytic),MLN-518,>300nM
DAPK1,PLX-4720,>300nM
AKT2,PKC-412,>300nM
CDK11,HKI-272,>300nM
TNK2,PLX-4720,>300nM
AXL,PTK-787,>300nM
HIPK2,TAE-684,<300nM
PIP5K1C,GW-2580,>300nM
FLT4,A-674563,<300nM
TNK1,PTK-787,>300nM
DYRK1B,GW-2580,>300nM
PRKCE,BMS-387032/SNS-032,>300nM
TAK1,ABT-869,>300nM
MKNK2,Dasatinib,<300nM
DYRK2,GW-2580,>300nM
MEK3,ABT-869,>300nM
MAP3K4,GSK-690693,>300nM
EIF2AK1,AT-7519,>300nM
CDK2,MLN-120B,>300nM
MAP3K2,PLX-4720,>300nM
IRAK4,MLN-8054,>300nM
NIM1,AG-013736,>300nM
PRKCD,MLN-8054,>300nM
MELK,GSK-1838705A,>300nM
EPHA4,MLN-518,>300nM
TNK1,CHIR-265/RAF-265,>300nM
CSNK1G1,Vandetanib,>300nM
RSK1(Kin.Dom.2-C-terminal),AG-013736,>300nM
EPHB3,AB-1010,>300nM
CSNK1G3,R547,>300nM
RIPK2,PTK-787,>300nM
CAMK1G,R547,>300nM
ERK2,Pazopanib,>300nM
PLK3,Vandetanib,>300nM
NEK2,LY-333531,>300nM
VRK2,Flavopiridol,>300nM
CLK1,LY-317615,<300nM
TNK2,BMS-387032/SNS-032,>300nM
HCK,AG-013736,<300nM
STK39,AZD-2171,>300nM
NEK5,HKI-272,>300nM
ARK5,PTK-787,>300nM
GSK3B,LY-333531,<300nM
GRK4,BMS-345541,>300nM
TIE2,GSK-690693,>300nM
EPHA1,ABT-869,>300nM
DCAMKL2,AC220,>300nM
CDK4-cyclinD3,PLX-4720,>300nM
DCAMKL2,R406,<300nM
PFCDPK1(P.falciparum),Pazopanib,>300nM
KIT(V559D),BMS-540215,<300nM
VRK2,AB-1010,>300nM
TNK1,PP-242,<300nM
PAK3,Staurosporine,<300nM
BRK,TG-101348,<300nM
PRKR,AC220,>300nM
BMPR2,PKC-412,>300nM
